"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"1","Cpe","-7.6027794610"," 5.9725815069","-1.086640e+01","4.602600e-27","3.268264e-24"," 4.970673e+01","Cpe"
"2","Gria4"," 7.2576996266"," 1.0484502790"," 1.068675e+01","3.040854e-26","2.095774e-23"," 4.773097e+01","Gria4"
"3","Slc38a1"," 6.9953036396"," 0.3858501092"," 1.110319e+01","3.656855e-28","2.954865e-25"," 5.191968e+01","Slc38a1"
"4","Ncan","-6.9474157380"," 1.6422176920","-2.159573e+01","4.716116e-97","1.105127e-92"," 2.093402e+02","Ncan"
"5","Trf"," 6.8512247470"," 6.6151637059"," 9.603802e+00","1.440639e-21","6.619314e-19"," 3.739264e+01","Trf"
"6","Sept4"," 6.7453941328"," 6.5273645599"," 9.322777e+00","1.978193e-20","8.132455e-18"," 3.491372e+01","Sept4"
"7","Gria1"," 6.4121632564"," 0.1189115810"," 9.627137e+00","1.155256e-21","5.414224e-19"," 3.773754e+01","Gria1"
"8","Cadm1","-6.3800992191"," 3.9205553760","-1.664983e+01","6.614235e-60","3.874784e-56"," 1.248910e+02","Cadm1"
"9","Pltp"," 6.1091223283"," 2.8105704908"," 9.832802e+00","1.615602e-22","8.475062e-20"," 3.956000e+01","Pltp"
"10","Slco1c1","-5.8430760623"," 2.4670700221","-1.957559e+01","5.917988e-81","4.622541e-77"," 1.728377e+02","Slco1c1"
"11","Gdf10"," 5.8200397995","-0.1656164169"," 1.047252e+01","2.782462e-25","1.811151e-22"," 4.566874e+01","Gdf10"
"12","6430704M03Rik"," 5.7450160471"," 0.4272313543"," 9.508557e+00","3.529077e-21","1.588020e-18"," 3.671899e+01","6430704M03Rik"
"13","Nrxn1","-5.6578614167"," 2.2074664497","-1.264753e+01","7.282002e-36","9.479953e-33"," 7.016263e+01","Nrxn1"
"14","Grin2c","-5.4838226191"," 0.3182011365","-1.966190e+01","1.287341e-81","1.508313e-77"," 1.744384e+02","Grin2c"
