"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"1","Acta2"," 1.338679e+01"," 0.7629938196"," 3.564623e+01","7.695244e-237","1.001792e-233","528.484807100","Acta2"
"2","Aldoc","-1.261984e+01"," 3.6596518281","-3.810508e+01","5.219861e-265","1.223170e-261","595.156112888","Aldoc"
"3","Clu","-1.260384e+01"," 4.1697082649","-3.821056e+01","3.103385e-266","8.080180e-263","597.765041222","Clu"
"4","Slc1a2","-1.203953e+01"," 3.4337764347","-4.047347e+01","7.652668e-293","5.977499e-289","658.976234995","Slc1a2"
"5","Myl9"," 1.203860e+01"," 0.6841334275"," 2.989054e+01","1.454836e-174","5.778163e-172","386.641703445","Myl9"
"6","Apoe","-1.160215e+01"," 9.3560569623","-4.026947e+01","2.021040e-290","1.183976e-286","651.651364465","Apoe"
"7","Tagln"," 1.132828e+01"," 0.3856095113"," 3.395640e+01","5.586623e-218","4.514184e-215","485.891295483","Tagln"
"8","Slc1a3","-1.120759e+01"," 2.9366827995","-4.229143e+01","1.324508e-314","1.551860e-310","708.993238405","Slc1a3"
"9","Gpr37l1","-1.084810e+01"," 2.2827350558","-3.898363e+01","2.930468e-275","1.144494e-271","618.870420149","Gpr37l1"
"10","Tpm2"," 1.082803e+01"," 0.3718103664"," 3.258638e+01","5.068797e-203","3.125714e-200","451.851496161","Tpm2"
"11","Igfbp7"," 1.080269e+01"," 2.7676309904"," 3.299160e+01","2.057987e-207","1.339578e-204","461.807031434","Igfbp7"
"12","Mylk"," 1.040926e+01"," 0.4651283347"," 3.108347e+01","5.470905e-187","2.786950e-184","415.304726527","Mylk"
"13","Myh11"," 1.034099e+01"," 0.1953996018"," 3.363870e+01","1.751611e-214","1.282672e-211","478.085266124","Myh11"
"14","Ntsr2","-1.023434e+01"," 1.6806860319","-3.700517e+01","2.615161e-252","4.713928e-249","566.308228002","Ntsr2"
"15","Pla2g7","-1.008716e+01"," 1.7900267517","-3.665662e+01","2.564813e-248","4.292947e-245","557.141068296","Pla2g7"
"16","Gja1","-1.006996e+01"," 1.9232383970","-3.726347e+01","2.812011e-255","5.990351e-252","573.088536305","Gja1"
"17","Crip1"," 9.801760e+00"," 1.7475870179"," 2.690218e+01","9.874528e-145","2.722233e-142","318.826020318","Crip1"
"18","Bcan","-9.770421e+00"," 2.0910815104","-3.848875e+01","1.788072e-269","5.237486e-266","605.681590490","Bcan"
