"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"1","Aldoc","-1.247854e+01"," 3.6596518281","-4.329379e+01"," 0.000000e+00"," 0.000000e+00"," 7.371664e+02","Aldoc"
"2","Clu","-1.225572e+01"," 4.1697082649","-4.358078e+01"," 0.000000e+00"," 0.000000e+00"," 7.450549e+02","Clu"
"3","Slc1a2","-1.203371e+01"," 3.4337764347","-4.645418e+01"," 0.000000e+00"," 0.000000e+00"," 8.260481e+02","Slc1a2"
"4","Ly6c1"," 1.172979e+01"," 2.6222235820"," 7.037145e+01"," 0.000000e+00"," 0.000000e+00"," 1.517877e+03","Ly6c1"
"5","Cldn5"," 1.166609e+01"," 2.4243412215"," 7.393546e+01"," 0.000000e+00"," 0.000000e+00"," 1.619378e+03","Cldn5"
"6","Itm2a"," 1.132808e+01"," 2.6756465023"," 6.217010e+01"," 0.000000e+00"," 0.000000e+00"," 1.281364e+03","Itm2a"
"7","Ly6a"," 1.073691e+01"," 2.5374530322"," 6.406788e+01"," 0.000000e+00"," 0.000000e+00"," 1.336415e+03","Ly6a"
"8","Slc1a3","-1.073233e+01"," 2.9366827995","-4.603954e+01"," 0.000000e+00"," 0.000000e+00"," 8.144118e+02","Slc1a3"
"9","Ndrg2","-1.068968e+01"," 4.7663388868","-4.206259e+01","7.557295e-312","2.566523e-309"," 7.031308e+02","Ndrg2"
"10","Pltp"," 1.060384e+01"," 2.8105704908"," 5.582996e+01"," 0.000000e+00"," 0.000000e+00"," 1.096630e+03","Pltp"
"11","Gpr37l1","-1.057320e+01"," 2.2827350558","-4.322712e+01"," 0.000000e+00"," 0.000000e+00"," 7.354897e+02","Gpr37l1"
"12","Tspan7","-1.048387e+01"," 5.5138840626","-5.172946e+01"," 0.000000e+00"," 0.000000e+00"," 9.772630e+02","Tspan7"
"13","Atp1a2","-1.000870e+01"," 3.0285931358","-3.942297e+01","2.027962e-280","5.109811e-278"," 6.310223e+02","Atp1a2"
"14","Flt1"," 1.000746e+01"," 2.0145654961"," 6.894407e+01"," 0.000000e+00"," 0.000000e+00"," 1.477335e+03","Flt1"
"15","Ntsr2","-9.995536e+00"," 1.6806860319","-4.122793e+01","7.781916e-302","2.368229e-299"," 6.802781e+02","Ntsr2"
"16","Ppap2b","-9.959715e+00"," 4.4416752955","-4.251470e+01","2.680759e-317","9.375853e-315"," 7.156215e+02","Ppap2b"
"17","Pla2g7","-9.823246e+00"," 1.7900267517","-4.093014e+01","2.800990e-298","8.308305e-296"," 6.721164e+02","Pla2g7"
"18","Ckb","-9.749196e+00"," 9.3666866485","-5.742274e+01"," 0.000000e+00"," 0.000000e+00"," 1.141731e+03","Ckb"
"19","Esam"," 9.631721e+00"," 2.3695442420"," 6.438594e+01"," 0.000000e+00"," 0.000000e+00"," 1.345891e+03","Esam"
"20","Gpm6a","-9.534336e+00"," 2.8154917266","-4.172012e+01","9.876370e-308","3.214347e-305"," 6.938124e+02","Gpm6a"
"21","Bcan","-9.513718e+00"," 2.0910815104","-4.288121e+01","9.881313e-322","3.617944e-319"," 7.259549e+02","Bcan"
"22","Mmd2","-9.452327e+00"," 2.3367149401","-3.916648e+01","2.099205e-277","5.071204e-275"," 6.242492e+02","Mmd2"
"23","Ntrk2","-9.440293e+00"," 2.4162766990","-4.053953e+01","1.255430e-293","3.544398e-291"," 6.614677e+02","Ntrk2"
"24","Igfbp7"," 9.430922e+00"," 2.7676309904"," 5.824600e+01"," 0.000000e+00"," 0.000000e+00"," 1.167352e+03","Igfbp7"
"25","Acsbg1","-9.417463e+00"," 1.4018419372","-3.988721e+01","6.784446e-286","1.827355e-283"," 6.437363e+02","Acsbg1"
"26","Gpm6b","-9.376587e+00"," 7.5643878182","-5.720876e+01"," 0.000000e+00"," 0.000000e+00"," 1.136313e+03","Gpm6b"
"27","Ttyh1","-9.329125e+00"," 3.8435744285","-4.251932e+01","2.357724e-317","8.370991e-315"," 7.159118e+02","Ttyh1"
"28","Scg3","-9.218724e+00"," 2.8526189629","-4.176677e+01","2.719330e-308","8.974937e-306"," 6.951366e+02","Scg3"
"29","Slc9a3r2"," 9.196808e+00"," 3.4398744675"," 4.423240e+01"," 0.000000e+00"," 0.000000e+00"," 7.640349e+02","Slc9a3r2"
"30","Mt3","-9.154748e+00"," 2.8440668647","-4.289561e+01","6.719293e-322","2.499280e-319"," 7.263643e+02","Mt3"
"31","Hspb1"," 9.132244e+00"," 2.4862515109"," 6.056669e+01"," 0.000000e+00"," 0.000000e+00"," 1.234967e+03","Hspb1"
"32","Cpe","-9.116630e+00"," 5.9725815069","-3.235180e+01","1.714069e-200","2.269254e-198"," 4.475003e+02","Cpe"
"33","Ly6e"," 9.098638e+00"," 2.6664913548"," 5.298437e+01"," 0.000000e+00"," 0.000000e+00"," 1.014360e+03","Ly6e"
"34","Mlc1","-9.049037e+00"," 1.2071483302","-3.903057e+01","8.253958e-276","1.953687e-273"," 6.206147e+02","Mlc1"
"35","Cspg5","-9.041859e+00"," 2.3641316512","-3.974998e+01","2.834845e-284","7.380991e-282"," 6.400309e+02","Cspg5"
"36","Pglyrp1"," 8.973647e+00"," 1.8217488219"," 6.102286e+01"," 0.000000e+00"," 0.000000e+00"," 1.248308e+03","Pglyrp1"
"37","Atp1b2","-8.942720e+00"," 2.6355137690","-3.997927e+01","5.533248e-287","1.525419e-284"," 6.462205e+02","Atp1b2"
"38","Ldhb","-8.825043e+00"," 4.4322790900","-3.561411e+01","1.772872e-236","3.032388e-234"," 5.302712e+02","Ldhb"
"39","Cdkn1a"," 8.640166e+00"," 2.9701973267"," 4.313441e+01"," 0.000000e+00"," 0.000000e+00"," 7.333339e+02","Cdkn1a"
"40","Cxcl12"," 8.537783e+00"," 1.9920000335"," 4.840727e+01"," 0.000000e+00"," 0.000000e+00"," 8.824986e+02","Cxcl12"
"41","Slco1a4"," 8.485390e+00"," 1.5966877647"," 6.172258e+01"," 0.000000e+00"," 0.000000e+00"," 1.268728e+03","Slco1a4"
"42","Wfdc1"," 8.483433e+00"," 2.0428410122"," 5.492199e+01"," 0.000000e+00"," 0.000000e+00"," 1.070656e+03","Wfdc1"
"43","Apold1"," 8.478375e+00"," 2.0805199397"," 5.287454e+01"," 0.000000e+00"," 0.000000e+00"," 1.011323e+03","Apold1"
"44","Slc6a1","-8.463878e+00"," 4.0750878105","-4.540061e+01"," 0.000000e+00"," 0.000000e+00"," 7.965895e+02","Slc6a1"
"45","Eng"," 8.454581e+00"," 1.8776681541"," 5.621379e+01"," 0.000000e+00"," 0.000000e+00"," 1.108331e+03","Eng"
"46","Klf2"," 8.435396e+00"," 2.0114337881"," 5.480561e+01"," 0.000000e+00"," 0.000000e+00"," 1.067355e+03","Klf2"
