"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"1","Apoe","-1.155419e+01"," 9.3560569623","-4.928303e+01"," 0.000000e+00"," 0.000000e+00","905.086908947","Apoe"
"2","Aldoc","-1.105742e+01"," 3.6596518281","-3.385051e+01","8.208575e-217","1.479627e-213","484.728419530","Aldoc"
"3","Atp1a2","-1.002904e+01"," 3.0285931358","-3.657193e+01","2.379795e-247","1.115315e-243","554.910536386","Atp1a2"
"4","Slc1a2","-9.985381e+00"," 3.4337764347","-3.279127e+01","3.075988e-205","4.504977e-202","458.152277900","Slc1a2"
"5","Slc1a3","-9.911798e+00"," 2.9366827995","-3.823113e+01","1.788961e-266","1.397357e-262","598.707346494","Slc1a3"
"6","Gpr37l1","-9.767662e+00"," 2.2827350558","-3.638180e+01","3.506417e-245","1.369431e-241","549.978816191","Gpr37l1"
"7","Ppap2b","-9.591463e+00"," 4.4416752955","-3.685403e+01","1.413528e-250","8.280799e-247","562.229506957","Ppap2b"
"8","Gja1","-9.315330e+00"," 1.9232383970","-3.613747e+01","2.108785e-242","7.059308e-239","543.653004942","Gja1"
"9","Clu","-9.156454e+00"," 4.1697082649","-2.532513e+01","8.312097e-130","2.597032e-127","285.176568474","Clu"
"10","Gstm1","-8.867479e+00"," 5.3665907509","-3.197045e+01","2.113573e-196","2.606703e-193","438.045222188","Gstm1"
"11","Acsbg1","-8.740573e+00"," 1.4018419372","-3.381176e+01","2.192321e-216","3.669476e-213","484.033800180","Acsbg1"
"12","Ntsr2","-8.645709e+00"," 1.6806860319","-3.192346e+01","6.718961e-196","7.872271e-193","436.996620590","Ntsr2"
"13","Glul","-8.627004e+00"," 8.8937024949","-4.243528e+01","2.437321e-316","2.855688e-312","712.626362262","Glul"
"14","Ndrg2","-8.495964e+00"," 4.7663388868","-2.754120e+01","6.025958e-151","2.715505e-148","333.768921466","Ndrg2"
"15","Sparcl1","-8.423851e+00"," 6.2814359437","-2.623156e+01","2.595816e-138","9.810927e-136","304.690009227","Sparcl1"
"16","Pla2g7","-8.409677e+00"," 1.7900267517","-3.126347e+01","6.911517e-189","6.748233e-186","420.913496407","Pla2g7"
"17","Mlc1","-8.407363e+00"," 1.2071483302","-3.313523e+01","5.627074e-209","8.790615e-206","467.062183484","Mlc1"
"18","Snap25"," 8.368786e+00"," 1.0952863688"," 2.571402e+01","1.973260e-133","6.701363e-131","293.653332134","Snap25"
"19","Meg3"," 8.281609e+00"," 0.9086274673"," 3.205363e+01","2.721679e-197","3.543172e-194","439.959030748","Meg3"
"20","Rtn1"," 8.277409e+00"," 1.7942506110"," 2.579793e+01","3.222949e-134","1.127214e-131","295.359783979","Rtn1"
"21","S1pr1","-8.166977e+00"," 3.1757581066","-3.599277e+01","9.244645e-241","2.707872e-237","539.934743490","S1pr1"
"22","Htra1","-8.156169e+00"," 4.6997353832","-3.110708e+01","3.086137e-187","2.892698e-184","417.205775271","Htra1"
"23","Mtap1b"," 7.866923e+00"," 3.0594598893"," 2.626291e+01","1.307668e-138","5.023375e-136","305.547024994","Mtap1b"
"24","Bcan","-7.735804e+00"," 2.0910815104","-2.932029e+01","1.005466e-168","6.929730e-166","374.617672515","Bcan"
"25","Cldn10","-7.711326e+00"," 1.0425589840","-3.463313e+01","1.762805e-225","3.442318e-222","504.964274056","Cldn10"
"26","Aqp4","-7.584904e+00"," 0.8848557434","-3.508275e+01","1.672591e-230","3.563076e-227","516.521239703","Aqp4"
"27","Gjb6","-7.485099e+00"," 0.7827304064","-3.573118e+01","8.449001e-238","2.199838e-234","533.277320378","Gjb6"
"28","Stmn3"," 7.470570e+00"," 1.2647440962"," 2.685979e+01","2.531878e-144","1.022923e-141","318.636433003","Stmn3"
"29","Sepp1","-7.442449e+00"," 6.3842502990","-2.982057e+01","7.636221e-174","5.772244e-171","386.491656553","Sepp1"
"30","Mfge8","-7.309951e+00"," 4.0891112231","-2.246780e+01","2.261002e-104","4.607136e-102","227.124075305","Mfge8"
"31","Fgfr3","-7.288871e+00"," 1.0719775780","-3.141403e+01","1.765839e-190","1.799083e-187","424.696905212","Fgfr3"
"32","Mmd2","-7.279759e+00"," 2.3367149401","-2.535670e+01","4.235038e-130","1.341076e-127","286.116506811","Mmd2"
"33","Bex2"," 7.244969e+00"," 1.1639338689"," 2.638322e+01","9.371121e-140","3.659891e-137","308.181550971","Bex2"
"34","Prdx6","-7.089841e+00"," 5.1608475444","-2.335924e+01","4.493077e-112","1.052863e-109","244.738651800","Prdx6"
"35","Snhg11"," 7.014894e+00"," 0.6048362142"," 2.856614e+01","4.184058e-161","2.513975e-158","357.140387778","Snhg11"
"36","Fam107a","-7.011787e+00"," 1.8287413819","-2.720527e+01","1.144590e-147","4.966886e-145","326.502428097","Fam107a"
