"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"1","Plp1"," 1.162278e+01"," 7.5324952125"," 61.940927725"," 0.000000e+00"," 0.000000e+00"," 1.274843e+03","Plp1"
"2","Trf"," 1.062913e+01"," 6.6151637059"," 61.330969036"," 0.000000e+00"," 0.000000e+00"," 1.257554e+03","Trf"
"3","Tubb4a"," 1.024807e+01"," 6.9100712332"," 67.771071949"," 0.000000e+00"," 0.000000e+00"," 1.444426e+03","Tubb4a"
"4","Mag"," 1.015823e+01"," 5.3452611180"," 71.231931873"," 0.000000e+00"," 0.000000e+00"," 1.544014e+03","Mag"
"5","Clu","-1.006014e+01"," 4.1697082649","-35.838038149","5.229613e-239","7.518130e-237"," 5.358956e+02","Clu"
"6","Gpr37l1","-9.648880e+00"," 2.2827350558","-40.012307464","2.249474e-287","4.835957e-285"," 6.470641e+02","Gpr37l1"
"7","Mal"," 9.644831e+00"," 6.7249041145"," 66.262280665"," 0.000000e+00"," 0.000000e+00"," 1.401112e+03","Mal"
"8","Aldoc","-9.459989e+00"," 3.6596518281","-32.280553270","1.000719e-199","1.042216e-197"," 4.458403e+02","Aldoc"
"9","Atp1a2","-9.446176e+00"," 3.0285931358","-38.172313427","8.639342e-266","1.569347e-263"," 5.975003e+02","Atp1a2"
"10","Gja1","-9.395193e+00"," 1.9232383970","-40.684662485","2.356664e-295","5.467693e-293"," 6.654236e+02","Gja1"
"11","Cldn11"," 9.356371e+00"," 4.8981005293"," 70.935508711"," 0.000000e+00"," 0.000000e+00"," 1.535607e+03","Cldn11"
"12","Mbp"," 9.343529e+00"," 7.3271846677"," 41.167153886","4.145772e-301","9.913050e-299"," 6.788153e+02","Mbp"
"13","Mog"," 9.144907e+00"," 4.7046440408"," 70.472180018"," 0.000000e+00"," 0.000000e+00"," 1.522404e+03","Mog"
"14","Ptgds"," 9.133521e+00"," 5.4664531158"," 51.784191497"," 0.000000e+00"," 0.000000e+00"," 9.800266e+02","Ptgds"
"15","Pla2g7","-9.128146e+00"," 1.7900267517","-38.717010692","3.867185e-272","7.427849e-270"," 6.121540e+02","Pla2g7"
"16","Sparcl1","-9.123812e+00"," 6.2814359437","-36.756260276","1.860672e-249","2.966063e-247"," 5.599379e+02","Sparcl1"
"17","Slc1a2","-9.113912e+00"," 3.4337764347","-34.670673597","6.728806e-226","8.663523e-224"," 5.058905e+02","Slc1a2"
"18","Ntsr2","-9.070707e+00"," 1.6806860319","-37.971030267","1.877597e-263","3.358606e-261"," 5.922179e+02","Ntsr2"
"19","Mobp"," 9.051106e+00"," 5.4031399258"," 54.750367897"," 0.000000e+00"," 0.000000e+00"," 1.066150e+03","Mobp"
"20","Enpp2"," 8.885762e+00"," 5.8540371361"," 59.468989873"," 0.000000e+00"," 0.000000e+00"," 1.203663e+03","Enpp2"
"21","Sept4"," 8.775865e+00"," 6.5273645599"," 50.394983886"," 0.000000e+00"," 0.000000e+00"," 9.397979e+02","Sept4"
"22","Bcan","-8.773113e+00"," 2.0910815104","-40.196645352","1.475594e-289","3.262038e-287"," 6.521473e+02","Bcan"
"23","Gpm6a","-8.695700e+00"," 2.8154917266","-38.679771967","1.053364e-271","2.006786e-269"," 6.111585e+02","Gpm6a"
"24","Mfge8","-8.625789e+00"," 4.0891112231","-33.087095724","1.881594e-208","2.070019e-206"," 4.659633e+02","Mfge8"
"25","Pllp"," 8.590118e+00"," 6.8337280640"," 72.194816052"," 0.000000e+00"," 0.000000e+00"," 1.571619e+03","Pllp"
"26","Acsbg1","-8.558611e+00"," 1.4018419372","-36.832546357","2.491124e-250","3.998254e-248"," 5.621339e+02","Acsbg1"
"27","Apod"," 8.493833e+00"," 5.2869177774"," 57.912200495"," 0.000000e+00"," 0.000000e+00"," 1.158421e+03","Apod"
