"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","feature"
"1","Gja1","-9.399116e+00"," 1.9232383970","-3.510221e+01","1.012418e-230","1.186200e-226","516.761282490","Gja1"
"2","Pllp"," 9.388115e+00"," 6.8337280640"," 3.444305e+01","2.292425e-223","1.790613e-219","498.931895871","Pllp"
"3","Neu4"," 9.221147e+00"," 0.2542811504"," 3.438003e+01","1.148029e-222","6.725444e-219","497.470684028","Neu4"
"4","Gpr17"," 9.189757e+00"," 0.4674591472"," 3.063515e+01","2.752950e-182","4.300659e-179","405.139283720","Gpr17"
"5","C1ql1"," 8.942354e+00"," 0.2328002000"," 3.549023e+01","4.419160e-235","1.035542e-230","525.881844181","C1ql1"
"6","Lhfpl3"," 8.882155e+00"," 0.3783334002"," 3.316163e+01","2.901184e-209","8.497930e-206","466.848503330","Lhfpl3"
"7","Olig1"," 8.857421e+00"," 5.4937751502"," 2.887534e+01","3.252676e-164","3.629522e-161","363.335723838","Olig1"
"8","Mlc1","-8.820109e+00"," 1.2071483302","-3.393763e+01","8.997451e-218","3.513954e-214","487.173009885","Mlc1"
"9","Gstm1","-8.713657e+00"," 5.3665907509","-2.697548e+01","1.934097e-145","1.373385e-142","321.000884058","Gstm1"
"10","Sulf2"," 8.663906e+00"," 2.8084931589"," 2.940558e+01","1.358764e-169","1.768885e-166","376.108253975","Sulf2"
"11","Matn4"," 8.585842e+00"," 0.4124337314"," 3.233516e+01","2.588832e-200","6.066409e-197","446.394876860","Matn4"
"12","Pdgfra"," 8.558623e+00"," 0.2516017061"," 3.161421e+01","1.327177e-192","2.591646e-189","428.769614247","Pdgfra"
"13","Qpct"," 8.526823e+00"," 1.5877164162"," 2.565721e+01","6.714144e-133","4.252231e-130","292.226428908","Qpct"
"14","Fxyd6"," 8.389387e+00"," 0.6619553092"," 2.820932e+01","1.528415e-157","1.432614e-154","348.588222663","Fxyd6"
"15","Acsbg1","-8.381020e+00"," 1.4018419372","-2.918009e+01","2.678258e-167","3.137981e-164","371.306922470","Acsbg1"
"16","Olig2"," 8.256030e+00"," 3.3380343740"," 2.833184e+01","9.204651e-159","8.987191e-156","351.274750638","Olig2"
